Sample,Output_Q31,Output_Float
974,3541,0.0000016
975,3508,0.0000016
976,-22,-0.0000000
977,-3525,-0.0000016
978,-3510,-0.0000016
979,2,0.0000000
980,3505,0.0000016
981,3508,0.0000016
982,13,0.0000000
983,-3489,-0.0000016
984,-3510,-0.0000016
985,-33,-0.0000000
986,3469,0.0000016
987,3508,0.0000016
988,49,0.0000000
989,-3453,-0.0000016
990,-3510,-0.0000016
991,-69,-0.0000000
992,3434,0.0000016
993,3509,0.0000016
994,84,0.0000000
995,-3420,-0.0000016
996,-3512,-0.0000016
997,-102,-0.0000000
998,3402,0.0000016
999,3509,0.0000016
1000,116,0.0000001
1001,-3387,-0.0000016
1002,-3510,-0.0000016
1003,-135,-0.0000001
1004,3367,0.0000016
1005,3507,0.0000016
1006,150,0.0000001
1007,-3350,-0.0000016
1008,-3507,-0.0000016
1009,-169,-0.0000001
1010,3329,0.0000016
1011,3503,0.0000016
1012,184,0.0000001
1013,-3312,-0.0000015
1014,-3503,-0.0000016
1015,-203,-0.0000001
1016,3291,0.0000015
1017,3499,0.0000016
1018,218,0.0000001
1019,-3274,-0.0000015
1020,-3499,-0.0000016
1021,-237,-0.0000001
1022,3253,0.0000015
1023,3495,0.0000016
1024,252,0.0000001
1025,-3236,-0.0000015
1026,-3495,-0.0000016
1027,-270,-0.0000001
1028,3216,0.0000015
1029,3490,0.0000016
1030,283,0.0000001
1031,-3200,-0.0000015
1032,-3489,-0.0000016
1033,-300,-0.0000001
1034,3180,0.0000015
1035,3484,0.0000016
1036,313,0.0000001
1037,-3164,-0.0000015
1038,-3483,-0.0000016
1039,-330,-0.0000002
1040,3144,0.0000015
1041,3478,0.0000016
1042,343,0.0000002
1043,-3128,-0.0000015
1044,-3477,-0.0000016
1045,-361,-0.0000002
1046,3107,0.0000014
1047,3473,0.0000016
1048,376,0.0000002
1049,-3090,-0.0000014
1050,-3473,-0.0000016
1051,-395,-0.0000002
1052,3069,0.0000014
1053,3469,0.0000016
1054,410,0.0000002
1055,-3052,-0.0000014
1056,-3469,-0.0000016
1057,-428,-0.0000002
1058,3032,0.0000014
1059,3464,0.0000016
1060,441,0.0000002
1061,-3016,-0.0000014
1062,-3463,-0.0000016
1063,-458,-0.0000002
1064,2996,0.0000014
1065,3458,0.0000016
1066,471,0.0000002
1067,-2980,-0.0000014
1068,-3457,-0.0000016
1069,-488,-0.0000002
1070,2960,0.0000014
1071,3452,0.0000016
1072,501,0.0000002
1073,-2944,-0.0000014
1074,-3451,-0.0000016
1075,-518,-0.0000002
1076,2924,0.0000014
1077,3446,0.0000016
1078,531,0.0000002
